c,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop
-1,0.002200126647949,873029,873036,0.61426168993459,0.03587385040515,28929,28936,40771,711.419105156165,711.423872838495
-1,0.007184624671936,1771090,1771100,2.02504208704101,0.035242651538551,24817,24827,44149,1323.11049634308,1323.11730771387
-0.5,0.003904223442078,337785,337789,0.688019519618527,0.026845512610374,34135,34139,38005,346.85340782901,346.856132112713
-0.5,0.003783583641052,974055,974104,6.3093793570207,0.089930325178315,35756,35805,38646,780.228305348435,780.261680398617
-0.5,0.003435373306274,1150541,1150546,0.526030608146982,0.02761432582258,37573,37576,45615,900.440836522008,900.4442423617
-0.5,0.004029631614685,1258379,1258386,1.11458014014776,0.038997821304688,5587,5593,44064,973.892844384405,973.897612147848
0,0.001866459846497,217713,217718,0.476143202478203,0.03110900290462,7105,7110,43093,265.073722125177,265.077127513185
0,0.00238561630249,269511,269514,0.378014394915253,0.024161714676305,13082,13085,43976,300.352883718631,300.354927018743
0,0.001876831054688,553045,553048,0.243422095009381,0.021983806147673,25169,25172,40432,493.472754602932,493.474798000956
0,0.001582741737366,1343740,1343743,0.269222247833587,0.024710345801841,44822,44825,45182,1032.03225934937,1032.03430255693
0,0.001793384552002,1601035,1601040,0.379295587110228,0.029088737653838,35519,35524,46805,1207.27827280232,1207.28167854399
0,0.006182074546814,1792220,1792227,1.40972314914004,0.03658892423576,489,496,49957,1337.50263464792,1337.5074024442
0.5,0.002334356307983,1428592,1428595,0.275046186467332,0.023168194018236,34086,34089,46311,1089.82385330198,1089.82589661427
0.5,0.001557350158691,1627691,1627694,0.226262041069841,0.022873061436582,14090,14093,42290,1225.4350212123,1225.43706460793
0.5,0.001697421073914,1748167,1748170,0.258550436071555,0.024380503582425,1976,1979,44149,1307.49692698086,1307.49897042533
0.5,0.001793503761292,1892840,1892848,0.638978033497335,0.03924042429961,1090,1098,35656,1406.0351473204,1406.0405960708
1,0.00174081325531,10652,10655,0.251569102827484,0.025581784010184,5140,5143,14233,124.03811669023,124.04016018843
1,0.003065347671509,144965,144975,1.08290858231107,0.040718986500249,22256,22266,43361,215.524344017002,215.531155248667
1,0.002947688102722,315874,315881,0.810083366655879,0.034971333737816,12282,12289,38005,331.930073146788,331.934840716276
1,0.00331974029541,390671,390676,0.595539504092489,0.027952287024696,44624,44629,45419,382.873988502608,382.877394141957
1,0.001999258995056,522055,522062,0.614209604721799,0.033948511036757,42284,42291,46157,472.363857925207,472.368626038537
1,0.003020286560059,537286,537297,1.16473581897108,0.041786484897192,9462,9473,40432,482.738471762954,482.745964315443
1,0.002376437187195,718844,718851,0.745104148175675,0.035824450840501,10539,10546,43996,606.404713744203,606.409481490657
1,0.004220724105835,1042197,1042203,0.893791618897341,0.028787584556108,26523,26529,53280,826.642229387144,826.646316241633
1,0.001582145690918,1075628,1075631,0.24318324027756,0.022929778225348,5565,5568,41709,849.413724936974,849.415768331106
1,0.003519773483276,1191678,1191684,0.771346803454208,0.031289087099785,31632,31638,43978,928.461002341763,928.465089149096
1,0.004039287567139,1233015,1233034,2.52946423432219,0.056689073201673,27111,27130,45005,956.616927651565,956.629868928634
1,0.004402041435242,1498503,1498511,1.05351747465864,0.035014038668656,15761,15769,39984,1137.4403369331,1137.44578578654
1,0.002390146255493,1647805,1647810,0.590987354135599,0.029521918767515,33871,33876,42290,1239.13572447461,1239.13913023788
1,0.0023113489151,1737257,1737262,0.542092617201641,0.031486013300517,27586,27591,34813,1300.06572610359,1300.06913179439
1,0.002127051353455,1836751,1836755,0.385308556991733,0.028050963513184,44861,44865,49957,1367.83321092113,1367.83593525524
1,0.002270817756653,1841254,1841259,0.54493425567,0.032440404516306,49321,49326,49957,1370.90021716618,1370.90362277631
1,0.005060315132141,1969019,1969023,0.745026944850029,0.026685815640027,31719,31723,51070,1457.91965790278,1457.92238228066
1,0.001844048500061,2093262,2093265,0.235900542071013,0.023153250243923,23991,23994,46463,1542.54274159446,1542.54478493369
